,Objname,ObsSMA,ObsEcc,ObsSin(Inc),PropSMA,PropEcc,PropSin(Inc),0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE,RMS_err,Deltas
667,2014 UN250,40.58168943888322,0.04828572838216848,0.46837086356698276,40.58168943888322,0.048275795672237214,0.46803790399572404,[40.58220977  0.04789402  0.46643989],[40.58214003  0.04794365  0.46644303],[40.58200877  0.04797428  0.46646096],[40.58182514  0.04800871  0.46647349],[40.58139554  0.04803498  0.46648608],[40.58112106  0.04804299  0.46648651],[40.58128749  0.04800109  0.46648339],[40.58145106  0.0479165   0.46647403],[40.58154843  0.04784399  0.4664615 ],[0.00021765 0.00282195 0.01413226],[ 0.00052034 -0.00023281 -0.0015514 ]
668,2014 RL74,46.76982540095007,0.2174729555186223,0.4846413314924108,46.76982540095007,0.21746387830273356,0.4841006118093736,[46.77069556  0.2121723   0.48406254],[46.77000469  0.21163934  0.48431211],[46.76922926  0.21212092  0.48394778],[46.76938831  0.21084445  0.48450816],[46.76953037  0.21222388  0.48398155],[46.7695128   0.21236746  0.48387236],[46.7693646   0.21139164  0.48416292],[46.7696906   0.21170217  0.48388879],[46.77030356  0.21149076  0.48434295],[0.00070886 0.05122197 0.00017365],[ 0.00087015 -0.00509642  0.00040755]
669,2014 UP277,48.88545963667731,0.3316942373302747,0.5937297242025141,48.88545963667732,0.3316842766917477,0.593602171007184,[48.98577041  0.18878993  0.58629353],[49.08662907  0.19107597  0.58893462],[48.94774106  0.20321473  0.59002959],[48.77033898  0.20605709  0.58946922],[48.52551069  0.26166104  0.58783189],[48.73575873  0.20840985  0.5816253 ],[48.8160484   0.16288208  0.57908588],[48.7408362   0.28139916  0.58211028],[49.15210666  0.15468753  0.58374984],[0.20839653 1.1269811  0.07328939],[ 0.26664702 -0.05028511 -0.00357258]
670,2014 XB48,69.31581693384122,0.5198696286176985,0.4381571804941912,69.31581693384122,0.5197170765103742,0.43778152884903027,[69.31558569  0.36182851  0.43735231],[69.31627481  0.4343338   0.444484  ],[69.31586675  0.36752345  0.43840155],[69.31603704  0.36079317  0.43482104],[69.31620564  0.331959    0.43582966],[69.31568554  0.29374348  0.42785706],[69.3160158   0.32087044  0.43684141],[69.31578861  0.39449978  0.43674713],[69.31546904  0.33054966  0.43715944],[5.76509157e-04 1.48135240e+00 1.05401587e-02],[ 0.00045787 -0.08538328  0.00670247]
671,2016 RJ82,38.517575374411976,0.10298521967466187,0.81298041489803,38.517575374412,0.10294992972755584,0.8127033257694729,[38.5188381   0.09752707  0.80060868],[38.52149653  0.09815717  0.80087574],[38.51909596  0.09816163  0.80053803],[38.51382408  0.09776456  0.80091915],[38.5120037   0.09818863  0.8006106 ],[38.51987312  0.09906412  0.80084107],[38.52336026  0.09990713  0.80049669],[38.51822097  0.1016893   0.80048566],[38.51458319  0.10286325  0.80049963],[0.00311754 0.0332265  0.1084547 ],[ 5.78488397e-03 -8.66769234e-05 -1.17841735e-02]
672,2015 VS207,99.98175131131596,0.649220387981385,0.06463688899323537,99.98175131131593,0.648967115243535,0.06033638218994133,[9.28634083e+01 5.77659793e-01 5.10550086e-02],[9.66615756e+01 6.30585330e-01 5.84066433e-02],[9.80440039e+01 6.01054949e-01 5.78468713e-02],[9.92898971e+01 4.06332875e-01 6.26496088e-02],[9.92846096e+01 3.81270860e-01 6.07210913e-02],[1.02426010e+02 6.34385331e-01 5.86516385e-02],[1.10670695e+02 6.79379723e-01 6.24202758e-02],[1.07899467e+02 6.53427730e-01 6.23297720e-02],[9.90452355e+01 5.97808915e-01 5.70445707e-02],[6.34914046 0.67879853 0.01190196],[1.06889432e+01 3.04126080e-02 2.31322661e-03]
673,2014 UP250,61.59946282519696,0.4677119934948727,0.30957216197576637,61.59946282519696,0.4675087432456585,0.3088341481365076,[52.24067236  0.36772176  0.3363191 ],[52.30681432  0.37559077  0.3368221 ],[53.21150421  0.38695512  0.33001439],[53.66441964  0.40268855  0.32692172],[54.41635753  0.41320623  0.30971841],[67.25481664  0.51679766  0.25873736],[83.88870401  0.62684365  0.25460959],[81.73620655  0.60778446  0.27723696],[64.24391159  0.48935134  0.30115954],[8.56824144 0.02063915 0.04796815],[22.28924119  0.15933491  0.02798795]
674,2014 UQ277,43.66777971470159,0.23860323198190916,0.3811321353380471,43.667779714701595,0.23824606649959998,0.3804608928557103,[43.66746522  0.22944829  0.3831676 ],[43.66809321  0.2074016   0.39320839],[43.66810796  0.23333148  0.38361931],[43.66782654  0.24616474  0.37327876],[43.66789636  0.25491462  0.36666436],[43.66777446  0.25480938  0.36896933],[43.6676494   0.24998686  0.37193681],[43.66767453  0.22429289  0.38614986],[43.66781756  0.20752799  0.39610273],[0.00028781 0.03633677 0.00105087],[0.00032824 0.01666855 0.01564184]
675,2014 UY277,38.720148305070936,0.09965822905531155,0.6137303767841882,38.720148305070936,0.09962067382217224,0.6133240481758325,[38.73541213  0.09240282  0.61074261],[38.72825223  0.09236169  0.61120845],[38.71267626  0.09165901  0.6113485 ],[38.69156174  0.09135595  0.61107573],[38.70232547  0.09467259  0.61090197],[38.72247977  0.07116254  0.61072153],[38.72526626  0.04363078  0.61053808],[38.72504452  0.07888385  0.61043675],[38.72505476  0.0811501   0.61022883],[0.01326159 0.15930672 0.02271398],[ 0.01526382 -0.00494808 -0.00197555]
676,2014 UR277,41.248487494389835,0.14720392909604954,0.5032631100165366,41.248487494389835,0.14717734223143214,0.5028347359720025,[41.25702546  0.1464758   0.49797614],[41.25337393  0.14606257  0.49793171],[41.2515874   0.14611563  0.49807284],[41.25104214  0.14588151  0.49822526],[41.2498935   0.1458124   0.49827336],[41.24630787  0.14537665  0.49807246],[41.24209264  0.14465538  0.49771019],[41.24191054  0.14433984  0.49764903],[41.24183334  0.14447824  0.49749411],[0.00132062 0.01539807 0.04410753],[ 0.00853797 -0.00070154 -0.00456138]
677,2014 US277,99.28974655251608,0.4570151836590903,0.5752380596495985,99.28974655251608,0.45682526926602085,0.5581180287295048,[9.93446258e+01 7.97079486e-02 2.17554832e-01],[9.93504068e+01 8.57471410e-02 2.17417938e-01],[9.93140473e+01 8.62898957e-02 2.17032015e-01],[9.93639092e+01 8.57660114e-02 2.17372337e-01],[9.93388478e+01 8.76865796e-02 2.17692293e-01],[9.92367207e+01 8.25040399e-02 2.17427161e-01],[9.92004319e+01 8.20738616e-02 2.17990794e-01],[9.92434414e+01 7.46474372e-02 2.17423307e-01],[9.92508369e+01 7.59435415e-02 2.17159268e-01],[0.035549   3.37106097 3.06599231],[ 0.07416268 -0.36913869 -0.34012723]
678,2014 SB374,44.25093780008172,0.1950224946396297,0.6277240531273495,44.25093780008174,0.1949730036499346,0.6273457362518354,[44.22855894  0.06217993  0.62308513],[4.42480615e+01 1.63452134e-02 6.23030431e-01],[4.42536687e+01 3.29922981e-02 6.22507947e-01],[44.25226413  0.04727074  0.62133311],[44.24703402  0.05778112  0.62131061],[4.42647227e+01 4.23810986e-02 6.22044029e-01],[44.27592687  0.0809166   0.62208863],[44.2617914   0.05376002  0.62241606],[4.42494938e+01 3.28980653e-02 6.22230150e-01],[0.02308184 1.32823195 0.04606551],[ 0.02498907 -0.11405641 -0.0042606 ]
