a,e,inc,Omega,omega,M,dist,H,RESO,Ifree,IfreeRange,qForced,pForced,OSSOS,DES,ID,Name
45.1368,0.13947,5.76966,0.42088,269.52074,322.20674,40.55294,6.4,0,5.8915,0.4573,0.1367,1.769,x,x,a0184314,184314 Mbabamwanawaresa (2005 EO302)
43.32531,0.14683,25.71606,307.75091,221.6009,231.09131,47.81338,4.01,0,27.1569,0.3426,-0.2718,1.5983,x,x,a0202421,202421 (2005 UQ513)
47.0933,0.24675,38.11562,328.65804,132.24955,2.7255,35.49638,4.33,0,39.2807,0.4503,-0.4093,1.538,x,x,a0230965,230965 (2004 XA192)
40.36714,0.77625,15.68525,187.05527,348.41795,20.98589,24.31363,11.1,-1,-,-,-,-,x,x,a0241097,241097 (2007 DU112)
43.84478,0.0831,1.54738,108.74865,125.97302,89.00172,44.08325,5.7,0,0.8561,0.2636,0.2774,1.8295,L4p06PD,x,a0275809,275809 (2001 QY297)
44.14924,0.10357,1.34122,339.13183,310.6553,57.20718,42.0357,6.36,0,2.5049,0.3276,0.2701,1.8261,x,x,a0303712,303712 (2005 PR21)
39.50312,0.15647,15.61607,248.48282,64.77506,333.5928,34.20656,7.2,32,19.8012,458.0826,3.2648,3.1138,L5i06PD,x,a0306792,306792 (2001 KQ77)
46.6945,0.2019,9.76238,59.84647,122.88627,54.79092,42.75505,5.6,0,8.368,0.6156,-0.0434,1.6924,x,x,a0307251,307251 (2002 KW14)
41.74004,0.14521,17.69308,216.07352,214.57518,224.64875,46.42566,3.76,1811,18.889,0.6162,0.1301,1.7699,x,x,a0307261,307261 (2002 MS4)
43.76325,0.07628,10.35963,17.76793,87.26502,284.4452,43.17538,5.0,0,9.9415,0.213,0.0284,1.7244,x,DESY6_0466,a0307616,307616 (2003 QW90)
43.35287,0.14233,28.63346,112.82198,91.64741,324.93445,38.64992,4.77,0,27.057,0.263,-0.3151,1.5798,x,x,a0308193,308193 (2005 CB79)
43.40526,0.1041,7.86587,318.43453,101.61097,82.46198,43.281,6.41,0,8.9955,0.5945,0.3187,1.8475,L5c07PD,x,a0308634,308634 (2005 XU100)
47.55721,0.30499,18.88989,205.02483,352.1661,6.86167,33.26644,5.54,21,19.4851,1.9913,-0.1763,1.6371,x,x,a0312645,312645 (2010 EP65)
41.77766,0.13908,27.40461,14.90062,57.78721,53.75445,38.93449,5.04,1811,27.2785,0.2935,-0.248,1.6094,x,x,a0315530,315530 (2008 AP129)
43.80277,0.04763,3.07617,165.79456,313.12514,214.52458,45.55188,5.85,0,3.3066,0.1749,0.1615,1.7805,x,x,a0363330,363330 (2002 PQ145)
45.59066,0.13128,2.29723,49.64707,156.08121,41.47773,41.50713,6.7,0,1.4909,0.3154,-0.0029,1.7099,L4k15PD,x,a0363401,363401 (2003 LB7)
44.68907,0.08025,3.54893,36.38491,181.9949,14.60449,41.23929,6.89,0,2.8655,0.1736,0.0177,1.7191,x,x,a0364171,364171 (2006 JZ81)
