spkid,Name,e,a,q,i,om,w,ma,n,tp,per_y,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma
3802110,2014 FD70,0.3741,57.33,35.883,26.64,289.39,110.79,86.37,0.002271,2419002.14,434,1.3e-01,5.8e+00,3.8e+00,5.0e-02,1.8e-01,1.3e+01,3.4e+01
3757877,2014 FL70,0.4107,55.42,32.658,8.90,257.35,24.76,290.50,0.002389,2489889.39,413,9.4e-04,4.5e-02,3.5e-02,3.8e-04,1.6e-02,7.7e-02,1.9e-01
3719016,2014 FV71,0.3057,54.93,38.137,27.12,202.18,38.32,329.29,0.002421,2473482.01,407,1.2e-04,5.1e-03,4.4e-03,2.2e-04,2.8e-04,1.5e-02,6.5e-03
3719017,2014 FX71,0.4614,62.61,33.718,17.73,275.70,193.32,33.67,0.00199,2443875.83,495,4.0e-04,5.3e-02,1.4e-02,1.3e-04,3.2e-03,5.2e-02,5.4e-02
3753720,2014 FZ71,0.2594,75.49,55.912,25.44,305.81,243.90,353.70,0.001503,2464990.49,656,6.5e-03,3.7e-01,2.2e-01,6.0e-03,1.3e-02,3.1e+00,1.6e+00
3753795,2014 FA72,0.3951,56.49,34.174,5.09,322.29,115.94,74.24,0.002321,2428818.48,425,1.8e-02,9.7e-01,4.1e-01,5.2e-03,6.4e-02,1.1e+00,3.6e+00
3757872,2014 FE72,0.9844,2308,35.961,20.62,336.80,133.77,0.19,8.888e-06,2439071.99,1.11e+05,1.3e-03,1.9e+02,1.9e-02,1.1e-03,2.1e-03,1.8e-02,2.3e-02
3757909,2014 FF72,0.2715,50.41,36.719,27.01,302.87,78.91,121.06,0.002754,2412914.63,358,8.2e-02,2.4e+00,2.4e+00,5.7e-02,1.1e-01,2.3e+01,4.1e+01
3757912,2014 FG72,0.2223,46.62,36.255,34.99,192.91,171.90,153.16,0.003097,2411341.15,318,1.5e-03,6.2e-02,9.7e-02,1.9e-03,2.2e-03,6.5e-01,1.0e+00
3757905,2014 FH72,0.3487,56.89,37.055,19.20,236.12,45.67,290.19,0.002297,2491194.88,429,1.5e-02,7.7e-01,3.6e-01,3.2e-03,3.0e-02,1.5e+00,3.5e+00
3757910,2014 FJ72,0.5968,94.87,38.249,15.36,302.55,132.80,36.96,0.001067,2426143.46,924,6.4e-04,1.3e-01,2.5e-02,1.1e-03,5.7e-03,4.2e-02,9.4e-02
3757911,2014 FK72,0.2948,53.68,37.859,12.29,207.59,231.00,85.74,0.002506,2426585.52,393,1.8e-03,5.8e-02,9.1e-02,1.8e-03,2.8e-03,1.5e-01,3.1e-01
3757902,2014 FL72,0.6341,103.3,37.791,29.24,201.13,258.82,26.80,0.000939,2432257.82,1.05e+03,1.5e-02,3.2e+00,3.5e-01,8.2e-03,2.9e-03,8.8e-02,1.5e+00
3757915,2014 FM72,0.3843,55.46,34.147,4.71,290.95,135.20,78.72,0.002387,2423907.84,413,1.1e-01,5.4e+00,2.6e+00,4.5e-03,2.4e-01,9.8e+00,2.6e+01
3755517,2014 GT53,0.0986,46,41.467,12.17,33.84,286.74,288.48,0.003159,2483441.72,312,2.1e-05,1.6e-03,1.8e-03,9.0e-05,1.0e-04,1.5e-02,1.5e-02
3755687,2014 GE54,0.2561,47.5,35.335,17.00,133.94,25.88,41.15,0.00301,2447131.81,327,3.3e-05,2.0e-03,1.1e-03,3.6e-05,4.6e-04,8.2e-03,5.4e-03
3755693,2014 GJ54,0.2697,39.22,28.643,17.30,233.11,37.63,351.07,0.004012,2463026.34,246,2.0e-05,1.4e-03,2.7e-04,5.4e-05,2.5e-05,2.6e-03,1.8e-03
3755697,2014 GK54,0.3225,39.23,26.577,24.06,234.20,12.72,4.63,0.004012,2459645.90,246,2.0e-05,1.4e-03,1.5e-04,5.3e-05,2.2e-05,1.2e-03,4.5e-04
54291322,2014 HP208,0.4209,64.63,37.423,26.92,223.87,85.22,321.56,0.001897,2481064.57,520,5.7e-04,7.0e-02,2.5e-02,1.1e-03,3.3e-04,7.4e-02,8.8e-02
3825164,2014 HR208,0.1226,39.26,34.443,3.17,346.79,272.51,338.99,0.004007,2466043.97,246,9.4e-04,2.4e-02,2.7e-02,9.6e-04,1.8e-02,3.8e-01,2.6e-01
54179491,2014 HV208,0.0448,43.32,41.378,1.86,181.28,310.08,96.30,0.003457,2432945.62,285,2.4e-03,1.7e-02,9.4e-02,2.1e-03,4.9e-02,3.0e-01,3.5e-01
