spkid,e,a,q,i,full_name,Name,names
20480017,0.4532,67.2,36.744,7.28,480017 (2014 QB442),480017,
20482824,0.2279,42.49,32.805,18.64,482824 (2013 XC26),482824,
20483002,0.0892,47.38,43.157,37.83,483002 (2014 QS441),483002,
20486958,0.0384,44.14,42.447,2.45,486958 Arrokoth (2014 MU69),486958,Arrokoth
20487581,0.0686,47.65,44.380,24.75,487581 (2015 BE519),487581,
20488644,0.0336,42.37,40.949,2.58,488644 (2003 HY56),488644,
20491767,0.0829,39.79,36.491,30.05,491767 (2012 VU113),491767,
20491768,0.1236,46.51,40.760,15.66,491768 (2012 VV113),491768,
20493480,0.0152,40.07,39.467,17.18,493480 (2014 YZ49),493480,
20495189,0.1756,48.12,39.669,19.27,495189 (2012 VR113),495189,
20495190,0.3172,55.75,38.067,26.77,495190 (2012 VS113),495190,
20495297,0.3219,53.58,36.334,4.80,495297 (2013 TJ159),495297,
20495603,0.2503,55.36,41.500,26.76,495603 (2015 AM281),495603,
20495613,0.1246,41.95,36.722,36.14,495613 (2015 FG345),495613,
20496315,0.7221,147.6,41.025,33.60,496315 (2013 GP136),496315,
20499514,0.1320,42.31,36.728,25.85,499514 (2010 OO127),499514,
20500828,0.0717,43.41,40.293,1.65,500828 (2013 GR136),500828,
20500829,0.1587,42.18,35.490,12.15,500829 (2013 GT136),500829,
20500830,0.1650,43.88,36.638,8.34,500830 (2013 GU136),500830,
20500831,0.0353,40.89,39.451,7.47,500831 (2013 GV136),500831,
20500832,0.6045,85.66,33.879,18.40,500832 (2013 GZ136),500832,
20500833,0.1001,39.17,35.246,6.96,500833 (2013 GD137),500833,
20500834,0.1833,39.01,31.859,9.91,500834 (2013 GK137),500834,
20500835,0.0625,43.86,41.120,2.77,500835 (2013 GN137),500835,
20500836,0.1298,45.44,39.540,2.85,500836 (2013 GQ137),500836,
20500837,0.1067,44.36,39.627,2.30,500837 (2013 GT137),500837,
20500838,0.0860,43.57,39.829,3.20,500838 (2013 GV137),500838,
20500839,0.0573,42.63,40.185,5.03,500839 (2013 GW137),500839,
20500840,0.0405,43.56,41.799,3.91,500840 (2013 GA138),500840,
20500856,0.0203,43.79,42.905,3.69,500856 (2013 HT156),500856,
20500876,0.4078,71.92,42.592,50.43,500876 (2013 JD64),500876,
20500877,0.2818,47.49,34.106,8.35,500877 (2013 JE64),500877,
20500878,0.1124,41.55,36.876,18.25,500878 (2013 JG64),500878,
20500879,0.3838,58.84,36.256,13.77,500879 (2013 JH64),500879,
20500880,0.0809,47.52,43.674,7.65,500880 (2013 JJ64),500880,
20500881,0.0443,42.15,40.286,7.29,500881 (2013 JM64),500881,
20500882,0.2831,52.7,37.777,7.74,500882 (2013 JN64),500882,
20500883,0.2571,39.21,29.128,19.86,500883 (2013 JJ65),500883,
