,des,type,p,q,soi,a,e,i,q.1,Name
172,139775, resonant,3,2, S,39.35,0.193,6.49,31.75545,2001 QG298
173,143685, resonant,4,3, S,36.453,0.236,5.904,27.850092,2003 SS317
174,143707, resonant,5,2, S,55.528,0.415,7.537,32.48388,2003 UY117
175,143751, resonant,5,3, S,42.173,0.253,7.652,31.503231,2003 US292
176,143991, classical, m,0, I,44.57,0.136,19.392,38.50848,2003 YO179
177,144897, classical, i,0, S,38.999,0.042,9.532,37.361042,2004 UX10
178,145451, resonant,21,4, I,90.57,0.612,28.758,35.14116,2005 RM43
179,145452, classical, m,0, S,41.51,0.023,19.272,40.55527,2005 RN43
180,145453, classical, m,0, S,43.223,0.139,28.507,37.215003,2005 RR43
181,145474, scattering,0,0, S,92.249,0.642,16.275,33.025142,2005 SA278
182,145480, detached,0,0, IH,75.663,0.389,26.48,46.230093,2005 TB190
183,145486, centaur,0,0, S,17.628,0.531,3.784,8.267532,2005 UJ438
184,148112, classical, m,0, S,43.935,0.04,0.791,42.1776,1999 RA216
185,148209, detached,0,0, I,221.938,0.801,22.756,44.165662,2000 CR105
186,148780, classical, m,0, S,44.239,0.062,5.199,41.496182,2001 UQ18
187,148975, centaur,0,0, S,29.441,0.683,12.614,9.332797,2001 XA255
188,149348, resonant,11,6, I,45.062,0.122,2.988,39.564436,2002 VS130
189,149349, resonant,5,3, S,42.275,0.24,7.07,32.129,2002 VA131
190,149560, scattering,0,0, S,41.513,0.477,34.821,21.711299,2003 QZ91
191,150642, classical, m,0, S,45.184,0.119,10.216,39.807104,2001 CZ31
192,160091, classical, m,0, S,45.092,0.109,1.982,40.176972,2000 OL67
193,160147, resonant,7,4, I,43.696,0.088,2.646,39.850752,2001 KN76
194,160148, resonant,7,2, I,69.572,0.506,15.321,34.368568,2001 KV76
195,160256, classical, m,0, S,42.961,0.062,4.907,40.297418,2002 PD149
196,160427, centaur,0,0, S,24.51,0.043,12.259,23.45607,2005 RL43
197,168700, resonant,3,2, S,39.357,0.231,4.991,30.265533,2000 GE147
198,168703, classical, m,0, S,39.786,0.075,4.917,36.80205,2000 GP183
199,169071, resonant,3,2, S,39.286,0.192,5.637,31.743088,2001 FR185
200,174567, resonant,15,8, SH,45.745,0.143,21.511,39.203465,2003 MW12
201,175113, classical, i,0, S,38.957,0.068,13.356,36.307924,2004 PF115
202,181708, classical, m,0, S,43.72,0.048,7.749,41.62144,1993 FW
203,181855, classical, m,0, I,45.982,0.182,28.682,37.613276,1998 WT31
