Name,mag.,a(AU),e,sinI,n(deg/yr),g("/y),s("/yr),LCEx1E6,My
2013TX228,7.25,43.4251089,0.0225252,0.0304654,1.261586,0.437400,-0.436023,0.02,100
2013TY187,6.61,43.5490234,0.0723917,0.1635940,1.256189,0.364401,-0.400813,0.04,100
2013TY228,6.98,45.1499522,0.1334339,0.0487072,1.189986,0.446305,-0.408569,0.24,100
2013TZ171,7.38,45.4445403,0.1926882,0.2665564,1.178771,0.270471,-0.332027,2.19,100
2013TZ227,7.14,43.3972919,0.0816922,0.1328918,1.262791,0.402802,-0.431692,0.01,100
2013TZ228,7.50,43.9544703,0.0416790,0.0412717,1.238859,0.407997,-0.409231,0.03,100
2013UA17,9.05,39.4599058,0.1487055,0.0315563,1.456422,-1.474841,-0.457017,0.09,100
2013UA18,7.95,43.0862813,0.0444350,0.1121487,1.276492,0.418756,-0.440605,-0.01,100
2013UB18,7.74,45.2084821,0.0374099,0.0444633,1.187662,0.347675,-0.347279,0.03,100
2013UC18,8.39,42.8519455,0.0502299,0.0678934,1.286986,0.464425,-0.475231,0.04,100
2013UD18,7.57,45.0199450,0.1064517,0.0271486,1.195131,0.388909,-0.389790,0.94,100
2013UE17,8.39,43.1293938,0.0431344,0.0212162,1.274560,0.464121,-0.462448,1.09,100
2013UE18,8.26,45.3759392,0.0931133,0.0330083,1.181097,0.360105,-0.362742,0.01,100
2013UF18,7.68,46.4612355,0.2001228,0.1904192,1.139986,0.284630,-0.348485,6.97,100
2013UG17,8.30,43.7276680,0.0765150,0.1456555,1.248489,0.341685,-0.403687,2.16,100
2013UG18,7.92,44.8353783,0.1040341,0.0182898,1.202527,0.395465,-0.397952,0.06,100
2013UH17,9.18,47.7997276,0.1404839,0.2954561,1.092352,-0.228760,-0.191436,1.23,100
2013UJ17,9.07,39.4596181,0.1753371,0.1027821,1.456473,-0.925795,-0.490264,2.92,100
2013UK15,6.00,47.7989850,0.1804165,0.1842870,1.092403,-0.113952,-0.219405,1.32,100
2013UL17,8.17,42.7686414,0.0224816,0.0076942,1.290751,0.477625,-0.483169,0.04,100
2013UL49,6.82,43.6261799,0.0286119,0.2296183,1.252841,0.289678,-0.351702,0.00,100
2013UM17,7.85,42.5222646,0.0690703,0.2316737,1.301952,0.366721,-0.408843,0.05,100
2013UN15,7.39,45.1944709,0.0520089,0.0594624,1.188214,0.346618,-0.349652,0.03,100
2013UN17,7.99,43.5806085,0.0301051,0.0286241,1.254838,0.432645,-0.428858,0.03,100
2013UO15,6.90,43.3834969,0.0374252,0.0330632,1.263402,0.443399,-0.442060,0.03,100
2013UP15,7.54,46.6704518,0.0826132,0.0181753,1.132289,0.312690,-0.306185,0.03,100
2013UP17,7.96,43.9052290,0.0495982,0.0134776,1.240946,0.419444,-0.417643,0.01,100
2013UP44,8.62,46.0282443,0.1371295,0.0379263,1.156079,0.361583,-0.364584,0.41,100
2013UQ17,8.85,36.4810762,0.0932533,0.0552788,1.638405,-3.219494,-0.623031,0.40,100
2013UR17,7.73,44.3856649,0.0740769,0.0407412,1.220849,0.398336,-0.400209,0.02,100
2013UR22,7.87,44.0693424,0.0769559,0.0222770,1.234021,0.421369,-0.421551,0.02,100
2013US15,7.96,36.4863610,0.0663244,0.0065381,1.638151,-6.873892,-0.951648,0.02,100
2013US17,8.06,42.6203752,0.0315580,0.0368421,1.297493,0.488489,-0.489469,0.03,100
2013UT17,7.73,43.0837634,0.0150119,0.0478085,1.276611,0.543585,-0.452878,0.10,100
2013UV17,8.29,39.4581476,0.1858279,0.0170451,1.456474,-0.918646,-0.383335,0.02,100
2013UW16,7.41,44.4195467,0.0796423,0.0113332,1.219453,0.406455,-0.404635,0.05,100
2013UW17,7.73,45.3815355,0.0146564,0.0042274,1.180874,0.343365,-0.339099,0.03,100
2013UX17,7.97,39.4601851,0.1379149,0.0469205,1.456399,-1.722303,-0.452860,0.01,100
2013UX18,7.41,43.6641351,0.0486999,0.0171121,1.251240,0.469668,-0.431628,0.03,100
2013UY16,7.73,44.0688988,0.0872107,0.0153726,1.234041,0.429794,-0.429220,0.05,100
2013UY17,7.45,44.3849670,0.0432746,0.0656097,1.220874,0.378460,-0.383100,0.04,100
2013UZ17,7.99,47.8067717,0.1583396,0.1240174,1.092277,0.362284,-0.299580,1.67,100
2013VA72,7.95,41.6196923,0.1069729,0.2563277,1.344540,0.278230,-0.454948,2.28,100
2013VD24,7.79,53.1145182,0.1876296,0.2948546,0.932573,0.124955,-0.151090,0.04,100
2013VH72,7.84,45.4942929,0.1474220,0.1382353,1.176485,0.259832,-0.365487,0.38,100
2013VL46,6.65,45.7019627,0.0998825,0.0860056,1.168475,0.331202,-0.343520,0.09,100
2013VO46,7.89,47.7995122,0.2925808,0.1640426,1.092374,-0.326252,-0.204171,0.25,100
2013VO71,6.56,44.0955144,0.1535414,0.2597563,1.232891,0.273151,-0.361240,0.73,100
2013VP46,7.77,47.8000305,0.2623647,0.2169890,1.092348,-0.513914,-0.191965,0.03,100
2013VQ71,7.47,39.4661378,0.0692071,0.1414091,1.456069,-5.292009,-0.501147,0.11,100
2013VR46,7.33,39.4588067,0.1473264,0.2175299,1.456428,-1.412226,-0.369198,0.11,100
2013VV71,7.52,40.5684419,0.0626451,0.2565994,1.397133,0.391403,-0.495665,0.74,100
2013VW71,7.07,44.2023669,0.0167783,0.0130526,1.228450,0.396633,-0.393372,0.03,100
2013VX71,7.36,44.0632482,0.0844057,0.0404586,1.234270,0.421838,-0.424916,0.98,100
2013VY71,8.28,39.4597276,0.1508103,0.1548518,1.456441,-1.267978,-0.459445,0.44,100
2013VZ31,6.62,43.6799484,0.1250731,0.0324745,1.249489,0.688539,-0.533295,3.26,100
2013WA139,6.85,43.5853034,0.1451316,0.0339770,1.254675,0.673046,-0.552587,1.73,100
2013WB139,7.66,42.9716042,0.0301409,0.0427636,1.281627,0.461108,-0.463949,0.46,100
2013WC139,7.67,45.0538368,0.1054375,0.0561479,1.193788,0.383554,-0.383252,0.03,100
2013WG114,6.70,44.2147887,0.0645628,0.0068402,1.227933,0.408126,-0.426770,0.24,100
2013WH123,7.12,46.3203541,0.1136732,0.1326703,1.145147,0.293494,-0.313725,0.03,100
2013XU33,7.48,40.6959378,0.1012472,0.3656180,1.390447,0.307981,-0.395753,5.40,100
2014FA72,7.28,60.1478645,0.4289553,0.0735252,0.788308,0.323830,-0.392639,NaN,100
2014FB62,7.88,39.4592774,0.1842663,0.1204419,1.456484,-0.810811,-0.470332,3.10,100
2014FC62,7.49,45.8328601,0.1309157,0.0369512,1.163476,0.362783,-0.367304,0.80,100
2014FK72,6.81,53.7846613,0.2946724,0.2238010,0.915217,0.170576,-0.201655,1.07,100
2014FO69,7.17,55.4650075,0.3038408,0.3067716,0.873931,-0.023424,-0.136691,0.35,100
2014FX61,7.91,42.9877641,0.1458508,0.3679373,1.280677,0.189790,-0.322972,9.29,100
2014GE54,6.69,47.7984790,0.2530019,0.2549936,1.092396,-0.158660,-0.206876,1.58,100
2014GT53,5.75,46.2945593,0.0986969,0.2006117,1.146092,0.245659,-0.286146,0.03,100
2014HR208,8.26,39.4605110,0.1313704,0.0673891,1.456387,-1.853983,-0.463418,0.08,100
2014HV208,7.42,43.5664791,0.0478185,0.0471909,1.255449,0.436966,-0.432648,0.02,100
2014HX209,8.18,45.5656303,0.1840740,0.1230725,1.173584,0.411479,-0.422077,6.56,100
2014JC92,5.82,45.8124178,0.1327514,0.1430098,1.164250,0.312658,-0.341381,0.30,100
2014JU80,5.88,53.3218842,0.3173595,0.1629399,0.927256,0.258344,-0.269277,9.96,100
2014KS101,6.57,38.5257570,0.0258956,0.4262718,1.509659,0.196948,-0.422797,1.35,100
2014LT28,5.97,44.2512168,0.0665022,0.1496446,1.226404,0.335211,-0.371529,0.05,100
2014MB103,9.75,44.1170797,0.0820629,0.0475905,1.232017,0.414202,-0.418704,0.02,100
2014ME70,6.79,42.6808868,0.1122370,0.1128285,1.294616,0.555530,-0.522808,3.43,100
2014MG70,6.16,43.4218668,0.0561867,0.2293538,1.261695,0.289394,-0.365511,0.13,100
2014MH105,8.82,43.6974271,0.1762310,0.1135064,1.248939,0.461102,-0.527164,3.91,100
2014NA66,7.24,44.3758827,0.2502910,0.2268402,1.212384,0.402554,-0.499965,NaN,100
2014NB66,5.70,45.7269333,0.0827774,0.1129808,1.167514,0.312018,-0.327092,0.01,100
2014NB96,6.08,41.6728583,0.0940074,0.2383528,1.341967,0.373983,-0.462534,0.09,100
2014ND81,6.77,41.5434367,0.1139159,0.4162248,1.348182,0.167434,-0.327935,0.21,100
2014NY65,6.58,40.6980147,0.0841943,0.3437666,1.390466,0.282850,-0.409539,3.67,100
2014OC394,6.67,43.6044093,0.0615941,0.0149473,1.253814,0.463642,-0.441401,0.03,100
2014OD394,5.67,44.4230385,0.0920139,0.1747115,1.219291,0.318673,-0.363060,0.10,100
2014OF394,6.08,46.8433602,0.1440341,0.3870727,1.125975,0.126901,-0.215750,0.06,100
2014OS393,9.98,44.1296409,0.0155427,0.0529703,1.231487,0.390656,-0.393083,0.02,100
2014OV393,6.25,39.4617893,0.1145564,0.0113267,1.456373,-2.001366,-0.603141,0.25,100
2014PE88,7.14,40.3589442,0.0728197,0.3656358,1.407991,0.255769,-0.402881,1.08,100
2014PN70,10.11,44.2771318,0.0651002,0.0581107,1.225340,0.392791,-0.398567,0.05,100
2014PS70,6.94,41.5166556,0.0605010,0.2680945,1.349536,0.316484,-0.430016,0.08,100
2014PZ102,6.98,44.0101301,0.1235253,0.0785746,1.236528,0.439125,-0.450912,2.20,100
2014QB527,6.85,41.4243490,0.0459362,0.3076174,1.354035,0.270115,-0.398553,0.04,100
2014QF433,6.16,46.0109783,0.1005023,0.0512862,1.156732,0.334659,-0.336810,1.86,100
2014QF562,7.83,42.3289959,0.1658400,0.3091993,1.310820,-0.744676,-0.298388,0.07,100
2014QG562,7.75,47.7990352,0.1937419,0.2436208,1.092378,-0.236061,-0.200907,1.15,100
2014QL562,7.13,44.9899922,0.1524143,0.2881923,1.196293,0.221778,-0.309100,0.11,100
2014QM562,8.10,43.5980456,0.1440853,0.0602320,1.254500,0.674343,-0.538897,1.68,100
2014QT562,7.62,40.6470144,0.0588548,0.3578224,1.393055,0.263630,-0.394027,0.43,100
2014QU441,7.96,41.2972914,0.1055223,0.3051125,1.360299,0.338603,-0.424659,2.28,100
2014QW562,7.97,49.2365725,0.2421789,0.3126643,1.044895,0.146584,-0.227849,5.46,100
2014QX510,7.10,45.6575883,0.1411857,0.0821928,1.170171,0.361313,-0.375165,3.78,100
2014QY510,7.86,42.8901474,0.1722167,0.3583753,1.285198,0.123851,-0.343181,1.65,100
2014RM86,8.01,42.9978487,0.1827038,0.3020713,1.280507,0.294762,-0.395879,14.59,100
2014SB404,8.03,39.4604224,0.0946197,0.3532036,1.456317,-2.612001,-0.345165,0.13,100
2014SC350,6.87,45.7188690,0.0807872,0.1372494,1.167820,0.296337,-0.320030,0.00,100
2014SF378,6.83,46.0111243,0.1597339,0.2247548,1.156691,0.255340,-0.312700,2.58,100
2014SM363,6.81,41.9857178,0.1204268,0.3710769,1.326899,0.226886,-0.348622,7.54,100
2014SO363,7.44,41.7921574,0.0970389,0.3686875,1.336181,0.206354,-0.348942,0.82,100
