Name,a(AU),e,sinI,n(deg/yr),g("/yr),s("/yr),lam-fit(deg),My
266,0.00000057,0.0001365,0.0000407,0.000020,0.012429,0.005760,11.1201,-2
267,0.00000001,0.0000625,0.0000467,0.000001,0.004314,0.005145,0.8038,-2
268,0.00000015,0.0000194,0.0000016,0.000004,0.010573,0.006668,2.5369,-2
269,0.00004213,0.0114534,0.0001755,0.002897,0.143735,2.018471,2613.0836,10
270,0.00003860,0.0008504,0.0009509,0.002473,0.017060,0.012768,1423.0743,2
271,0.00000116,0.0000125,0.0000127,0.000055,0.008035,0.006336,19.9407,-2
272,0.00000001,0.0004922,0.0003632,0.000001,0.029516,0.015361,0.4588,-2
273,0.00002099,0.0006029,0.0004443,0.001590,0.008224,0.015248,594.6551,2
274,0.00000201,0.0000173,0.0000300,0.000039,0.011633,0.008917,22.6929,-2
275,0.00000212,0.0000627,0.0000371,0.000050,0.008063,0.005124,31.0315,-2
276,0.00000358,0.0000468,0.0000488,0.000215,0.004757,0.004119,76.6172,-2
277,0.00000001,0.0000297,0.0000066,0.000001,0.007996,0.005519,0.5673,-2
278,0.00000307,0.0001669,0.0000112,0.000067,0.004871,0.005480,65.9150,-2
280,0.00000014,0.0000482,0.0000298,0.000007,0.008406,0.006326,2.8941,-2
281,0.00000100,0.0015398,0.0011966,0.000084,0.007627,0.043589,36.9365,2
282,0.00000001,0.0008357,0.0002102,0.000002,0.007175,0.020735,3.2654,2
283,0.00000014,0.0003070,0.0002356,0.000005,0.055741,0.028147,2.2272,-2
284,0.00001977,0.0006025,0.0001196,0.001316,0.004198,0.020197,606.6185,2
285,0.00000673,0.0013384,0.0009365,0.000181,0.292231,0.157352,187.9842,10
286,0.00000010,0.0000075,0.0000312,0.000005,0.014008,0.006057,2.5043,-2
287,0.00000002,0.0009258,0.0003600,0.000002,0.017721,0.010653,2.4159,2
288,0.00000082,0.0000667,0.0000104,0.000029,0.007129,0.007082,14.6745,-2
289,0.00000022,0.0000254,0.0000330,0.000010,0.007108,0.005595,4.2631,-2
290,0.00001296,0.0019275,0.0008921,0.000611,0.237947,0.287725,395.6895,2
291,0.00000476,0.0002960,0.0009376,0.000309,0.009681,0.040460,154.3318,2
292,0.00000012,0.0002628,0.0002033,0.000012,0.031216,0.006307,5.5999,-2
